ID,Test,Paw,CFA,Expt,VF
399,Baseline,Left,Naive,BA,1.414568735
400,Baseline,Left,Naive,BA,0.96154866
401,Baseline,Left,Naive,BA,0.861761594
402,Baseline,Left,Naive,BA,1.220857412
403,Baseline,Left,CFA,BA,1.507076021
404,Baseline,Left,CFA,BA,1.119340187
405,Baseline,Left,CFA,BA,1.507076021
406,Baseline,Left,CFA,BA,0.76769952
407,Baseline,Left,Naive,BA,1.174135231
408,Baseline,Left,Naive,BA,0.938727559
409,Baseline,Left,Naive,BA,0.995217536
410,Baseline,Left,Naive,BA,0.986636433
411,Baseline,Left,CFA,BA,1.347396175
412,Baseline,Left,CFA,BA,1.34691845
413,Baseline,Left,CFA,BA,1.324047684
414,Baseline,Left,CFA,BA,0.853622694
399,Baseline,Right,Naive,BA,1.419982738
400,Baseline,Right,Naive,BA,1.322110222
401,Baseline,Right,Naive,BA,0.861761594
402,Baseline,Right,Naive,BA,0.917601392
403,Baseline,Right,CFA,BA,1.531557498
404,Baseline,Right,CFA,BA,1.078537422
405,Baseline,Right,CFA,BA,1.088108123
406,Baseline,Right,CFA,BA,0.794784285
407,Baseline,Right,Naive,BA,0.984223303
408,Baseline,Right,Naive,BA,0.791474001
409,Baseline,Right,Naive,BA,1.066469091
410,Baseline,Right,Naive,BA,0.789097469
411,Baseline,Right,CFA,BA,1.066469091
412,Baseline,Right,CFA,BA,0.994172783
413,Baseline,Right,CFA,BA,1.251751375
414,Baseline,Right,CFA,BA,0.875469317
431,Baseline,Left,Naive,DMSO,1.054055945
432,Baseline,Left,Naive,DMSO,1.093959848
433,Baseline,Left,Naive,DMSO,1.220439149
434,Baseline,Left,Naive,DMSO,1.088027961
435,Baseline,Left,CFA,DMSO,1.180535246
436,Baseline,Left,CFA,DMSO,1.436448761
437,Baseline,Left,CFA,DMSO,1.126352254
438,Baseline,Left,CFA,DMSO,1.336661696
439,Baseline,Left,Naive,DMSO,0.95426888
440,Baseline,Left,Naive,DMSO,1.120652084
441,Baseline,Left,Naive,DMSO,0.994172783
442,Baseline,Left,Naive,DMSO,1.093919688
443,Baseline,Left,CFA,DMSO,1.378230677
444,Baseline,Left,CFA,DMSO,1.039877817
445,Baseline,Left,CFA,DMSO,0.861841757
446,Baseline,Left,CFA,DMSO,0.96154866
431,Baseline,Right,Naive,DMSO,0.742455578
432,Baseline,Right,Naive,DMSO,1.419982738
433,Baseline,Right,Naive,DMSO,1.211847473
434,Baseline,Right,Naive,DMSO,1.093959848
435,Baseline,Right,CFA,DMSO,0.95426888
436,Baseline,Right,CFA,DMSO,1.253029256
437,Baseline,Right,CFA,DMSO,1.098836645
438,Baseline,Right,CFA,DMSO,1.437726642
439,Baseline,Right,Naive,DMSO,0.742455578
440,Baseline,Right,Naive,DMSO,1.120652084
441,Baseline,Right,Naive,DMSO,1.347396175
442,Baseline,Right,Naive,DMSO,1.038633519
443,Baseline,Right,CFA,DMSO,0.845315665
444,Baseline,Right,CFA,DMSO,1.016343704
445,Baseline,Right,CFA,DMSO,1.253029256
446,Baseline,Right,CFA,DMSO,1.153009064
399,CFA + 1D,Left,Naive,BA,1.211847472
400,CFA + 1D,Left,Naive,BA,0.996047172
401,CFA + 1D,Left,Naive,BA,1.220439149
402,CFA + 1D,Left,Naive,BA,1.222194754
403,CFA + 1D,Left,CFA,BA,0.278838762
404,CFA + 1D,Left,CFA,BA,0.267676573
405,CFA + 1D,Left,CFA,BA,0.106686641
406,CFA + 1D,Left,CFA,BA,0.120090936
407,CFA + 1D,Left,Naive,BA,1.16614253
408,CFA + 1D,Left,Naive,BA,1.298473557
409,CFA + 1D,Left,Naive,BA,0.756553508
410,CFA + 1D,Left,Naive,BA,0.921644757
411,CFA + 1D,Left,CFA,BA,0.423421142
412,CFA + 1D,Left,CFA,BA,0.244003261
413,CFA + 1D,Left,CFA,BA,0.222685689
414,CFA + 1D,Left,CFA,BA,0.144203578
399,CFA + 1D,Right,Naive,BA,0.996047172
400,CFA + 1D,Right,Naive,BA,1.076338947
401,CFA + 1D,Right,Naive,BA,0.756553508
402,CFA + 1D,Right,Naive,BA,1.015363835
403,CFA + 1D,Right,CFA,BA,1.095237729
404,CFA + 1D,Right,CFA,BA,0.995450664
405,CFA + 1D,Right,CFA,BA,0.746573353
406,CFA + 1D,Right,CFA,BA,1.096515609
407,CFA + 1D,Right,Naive,BA,1.126352254
408,CFA + 1D,Right,Naive,BA,0.829217633
409,CFA + 1D,Right,Naive,BA,0.810477641
410,CFA + 1D,Right,Naive,BA,1.274345857
411,CFA + 1D,Right,CFA,BA,1.016767265
412,CFA + 1D,Right,CFA,BA,1.220439149
413,CFA + 1D,Right,CFA,BA,0.895430471
414,CFA + 1D,Right,CFA,BA,1.119420349
431,CFA + 1D,Left,Naive,DMSO,0.955313633
432,CFA + 1D,Left,Naive,DMSO,1.153009063
433,CFA + 1D,Left,Naive,DMSO,0.637273552
434,CFA + 1D,Left,Naive,DMSO,1.049134817
435,CFA + 1D,Left,CFA,DMSO,0.380933744
436,CFA + 1D,Left,CFA,DMSO,0.191341246
437,CFA + 1D,Left,CFA,DMSO,0.234704895
438,CFA + 1D,Left,CFA,DMSO,0.113769348
439,CFA + 1D,Left,Naive,DMSO,0.994172783
440,CFA + 1D,Left,Naive,DMSO,1.274345857
441,CFA + 1D,Left,Naive,DMSO,1.153019637
442,CFA + 1D,Left,Naive,DMSO,0.853622694
443,CFA + 1D,Left,CFA,DMSO,0.143908773
444,CFA + 1D,Left,CFA,DMSO,0.166408596
445,CFA + 1D,Left,CFA,DMSO,0.114488528
446,CFA + 1D,Left,CFA,DMSO,0.145057035
431,CFA + 1D,Right,Naive,DMSO,1.167534037
432,CFA + 1D,Right,Naive,DMSO,1.15196431
433,CFA + 1D,Right,Naive,DMSO,0.805411762
434,CFA + 1D,Right,Naive,DMSO,1.22171703
435,CFA + 1D,Right,CFA,DMSO,1.016767264
436,CFA + 1D,Right,CFA,DMSO,1.093959848
437,CFA + 1D,Right,CFA,DMSO,1.184331863
438,CFA + 1D,Right,CFA,DMSO,1.220439149
439,CFA + 1D,Right,Naive,DMSO,1.424952858
440,CFA + 1D,Right,Naive,DMSO,1.026540336
441,CFA + 1D,Right,Naive,DMSO,1.095237729
442,CFA + 1D,Right,Naive,DMSO,0.994172783
443,CFA + 1D,Right,CFA,DMSO,0.846013832
444,CFA + 1D,Right,CFA,DMSO,1.012397036
445,CFA + 1D,Right,CFA,DMSO,1.220439149
446,CFA + 1D,Right,CFA,DMSO,0.921644756
399,CFA + 5D,Left,Naive,BA,0.95426888
400,CFA + 5D,Left,Naive,BA,1.180535246
401,CFA + 5D,Left,Naive,BA,1.066469091
402,CFA + 5D,Left,Naive,BA,1.447192859
403,CFA + 5D,Left,CFA,BA,0.694089626
404,CFA + 5D,Left,CFA,BA,0.657216587
405,CFA + 5D,Left,CFA,BA,0.782299224
406,CFA + 5D,Left,CFA,BA,0.712984638
407,CFA + 5D,Left,Naive,BA,1.180535246
408,CFA + 5D,Left,Naive,BA,0.867175597
409,CFA + 5D,Left,Naive,BA,1.026540336
410,CFA + 5D,Left,Naive,BA,1.095237729
411,CFA + 5D,Left,CFA,BA,0.734846716
412,CFA + 5D,Left,CFA,BA,0.680842421
413,CFA + 5D,Left,CFA,BA,0.971794966
414,CFA + 5D,Left,CFA,BA,0.490806291
399,CFA + 5D,Right,Naive,BA,1.153009063
400,CFA + 5D,Right,Naive,BA,1.088108123
401,CFA + 5D,Right,Naive,BA,1.120652084
402,CFA + 5D,Right,Naive,BA,1.236328949
403,CFA + 5D,Right,CFA,BA,1.093959848
404,CFA + 5D,Right,CFA,BA,1.017812017
405,CFA + 5D,Right,CFA,BA,1.093959848
406,CFA + 5D,Right,CFA,BA,1.066469091
407,CFA + 5D,Right,Naive,BA,1.038633519
408,CFA + 5D,Right,Naive,BA,0.96282654
409,CFA + 5D,Right,Naive,BA,1.095237729
410,CFA + 5D,Right,Naive,BA,1.093959848
411,CFA + 5D,Right,CFA,BA,1.116554329
412,CFA + 5D,Right,CFA,BA,1.298473557
413,CFA + 5D,Right,CFA,BA,1.502987265
414,CFA + 5D,Right,CFA,BA,0.861761594
431,CFA + 5D,Left,Naive,DMSO,0.927058759
432,CFA + 5D,Left,Naive,DMSO,1.116554329
433,CFA + 5D,Left,Naive,DMSO,0.894385718
434,CFA + 5D,Left,Naive,DMSO,0.86288651
435,CFA + 5D,Left,CFA,DMSO,0.942888829
436,CFA + 5D,Left,CFA,DMSO,0.827787808
437,CFA + 5D,Left,CFA,DMSO,0.777896153
438,CFA + 5D,Left,CFA,DMSO,0.73101527
439,CFA + 5D,Left,Naive,DMSO,1.093959848
440,CFA + 5D,Left,Naive,DMSO,0.926753271
441,CFA + 5D,Left,Naive,DMSO,1.06936813
442,CFA + 5D,Left,Naive,DMSO,1.026540336
443,CFA + 5D,Left,CFA,DMSO,0.681653038
444,CFA + 5D,Left,CFA,DMSO,0.894804477
445,CFA + 5D,Left,CFA,DMSO,0.829217633
446,CFA + 5D,Left,CFA,DMSO,0.597399273
431,CFA + 5D,Right,Naive,DMSO,1.095237729
432,CFA + 5D,Right,Naive,DMSO,0.994172783
433,CFA + 5D,Right,Naive,DMSO,1.220439149
434,CFA + 5D,Right,Naive,DMSO,1.22171703
435,CFA + 5D,Right,CFA,DMSO,1.116554329
436,CFA + 5D,Right,CFA,DMSO,1.120652084
437,CFA + 5D,Right,CFA,DMSO,1.251751375
438,CFA + 5D,Right,CFA,DMSO,0.845315665
439,CFA + 5D,Right,Naive,DMSO,1.220439149
440,CFA + 5D,Right,Naive,DMSO,1.34691845
441,CFA + 5D,Right,Naive,DMSO,0.96154866
442,CFA + 5D,Right,Naive,DMSO,1.054055945
443,CFA + 5D,Right,CFA,DMSO,0.984223303
444,CFA + 5D,Right,CFA,DMSO,1.043709262
445,CFA + 5D,Right,CFA,DMSO,1.34691845
446,CFA + 5D,Right,CFA,DMSO,0.887195615
399,CFA + 8D,Left,Naive,BA,1.378230677
400,CFA + 8D,Left,Naive,BA,1.027818216
401,CFA + 8D,Left,Naive,BA,0.955313633
402,CFA + 8D,Left,Naive,BA,0.994172783
403,CFA + 8D,Left,CFA,BA,0.995217536
404,CFA + 8D,Left,CFA,BA,1.22171703
405,CFA + 8D,Left,CFA,BA,0.826107085
406,CFA + 8D,Left,CFA,BA,0.834551473
407,CFA + 8D,Left,Naive,BA,1.020005898
408,CFA + 8D,Left,Naive,BA,1.236328949
409,CFA + 8D,Left,Naive,BA,1.079815302
410,CFA + 8D,Left,Naive,BA,1.180535246
411,CFA + 8D,Left,CFA,BA,1.054055945
412,CFA + 8D,Left,CFA,BA,1.251751375
413,CFA + 8D,Left,CFA,BA,1.093959848
414,CFA + 8D,Left,CFA,BA,1.055333826
399,CFA + 8D,Right,Naive,BA,1.055333826
400,CFA + 8D,Right,Naive,BA,1.253029256
401,CFA + 8D,Right,Naive,BA,1.093441963
402,CFA + 8D,Right,Naive,BA,0.955313633
403,CFA + 8D,Right,CFA,BA,1.220439149
404,CFA + 8D,Right,CFA,BA,1.093959848
405,CFA + 8D,Right,CFA,BA,0.894209309
406,CFA + 8D,Right,CFA,BA,0.966962662
407,CFA + 8D,Right,Naive,BA,1.095237729
408,CFA + 8D,Right,Naive,BA,0.894209309
409,CFA + 8D,Right,Naive,BA,1.054055945
410,CFA + 8D,Right,Naive,BA,1.093959848
411,CFA + 8D,Right,CFA,BA,1.093959848
412,CFA + 8D,Right,CFA,BA,1.153019637
413,CFA + 8D,Right,CFA,BA,1.026540336
414,CFA + 8D,Right,CFA,BA,1.220439149
431,CFA + 8D,Left,Naive,DMSO,0.894804477
432,CFA + 8D,Left,Naive,DMSO,1.012397036
433,CFA + 8D,Left,Naive,DMSO,1.016343704
434,CFA + 8D,Left,Naive,DMSO,0.815910452
435,CFA + 8D,Left,CFA,DMSO,1.153497362
436,CFA + 8D,Left,CFA,DMSO,1.378708401
437,CFA + 8D,Left,CFA,DMSO,1.459043243
438,CFA + 8D,Left,CFA,DMSO,1.253029256
439,CFA + 8D,Left,Naive,DMSO,1.11783221
440,CFA + 8D,Left,Naive,DMSO,1.220439149
441,CFA + 8D,Left,Naive,DMSO,0.76119557
442,CFA + 8D,Left,Naive,DMSO,0.962906702
443,CFA + 8D,Left,CFA,DMSO,1.119340187
444,CFA + 8D,Left,CFA,DMSO,1.184331863
445,CFA + 8D,Left,CFA,DMSO,0.853622694
446,CFA + 8D,Left,CFA,DMSO,1.076650426
431,CFA + 8D,Right,Naive,DMSO,0.893526597
432,CFA + 8D,Right,Naive,DMSO,0.793739532
433,CFA + 8D,Right,Naive,DMSO,0.96154866
434,CFA + 8D,Right,Naive,DMSO,0.542245265
435,CFA + 8D,Right,CFA,DMSO,0.995217536
436,CFA + 8D,Right,CFA,DMSO,0.81047764
437,CFA + 8D,Right,CFA,DMSO,0.946126233
438,CFA + 8D,Right,CFA,DMSO,1.051318124
439,CFA + 8D,Right,Naive,DMSO,1.051318124
440,CFA + 8D,Right,Naive,DMSO,1.020005898
441,CFA + 8D,Right,Naive,DMSO,0.984223303
442,CFA + 8D,Right,Naive,DMSO,0.916121078
443,CFA + 8D,Right,CFA,DMSO,0.842182386
444,CFA + 8D,Right,CFA,DMSO,0.976439801
445,CFA + 8D,Right,CFA,DMSO,1.274345857
446,CFA + 8D,Right,CFA,DMSO,1.043709262
